candidate_id,candidate_name,specialization,error_risk,method_independence,own_tools,work_volume,reuse,parallelism,own_memory,independent_audit,final_impact,total,final_id,disposition,independence_block,function_tags,source_tags,tool_tags,output_tags
C01,Direcao Epistemologica e Arquitetura,5,5,5,4,4,5,4,5,5,5,47,O01,FUSE,0,"architecture;workflow;scope;governance","methods;policies;claims;products","workflow;registry;ledger","architecture;decision;escalation"
C02,Orquestracao de Casos e Produtos,4,5,4,4,5,5,5,5,4,5,46,O01,FUSE,0,"architecture;workflow;scope;governance","methods;policies;claims;products","workflow;registry;ledger","architecture;decision;escalation"
C03,Governanca de Dados Memoria e Privacidade,5,5,5,5,4,5,3,5,5,5,47,Q03,REORGANIZE,1,"privacy;memory;consent;governance","policies;client-data;law","namespace;access-control;ledger","gate;block;policy"
C04,Pesquisa Historico-Academica,5,4,5,4,4,5,4,5,4,4,44,R01,KEEP,0,"research;history;genealogy;primary-sources","primary;academic;critical-editions","search;zotero;ocr","source-packet;bibliography;genealogy"
C05,Pesquisa Contemporanea e Profissional,4,3,4,4,5,5,5,4,3,4,41,R02,KEEP,0,"research;web;professional;communities","professional;web;forums;conferences","search;web;catalog","source-packet;controversy;practice-note"
C06,Verificacao Independente de Evidencias e Citacoes,5,5,5,4,4,5,4,5,5,5,47,Q02,MERGE_QA,1,"verification;citations;fact-check;history","primary;academic;professional;web","search;citation-check;ocr","review-packet;pass;return;block"
C07,Astrologia Natal Integrativa,5,4,4,4,5,5,4,5,4,5,45,A01,KEEP,0,"astrology;natal;synthesis;interpretation","astrology;methods;client-case","chart-reader;claim-ledger","natal-synthesis;claim-packet"
C08,Astrologia Tradicional Helenistica e Medieval,5,4,5,4,4,4,4,5,4,5,44,A02,KEEP,0,"astrology;traditional;hellenistic;medieval","traditional;hellenistic;medieval","chart-reader;technique-registry","traditional-opinion;claim-packet"
C09,Astrologia Psicologica e Evolutiva,5,4,5,3,4,4,4,5,4,5,43,A03,KEEP_MODES,0,"astrology;psychological;evolutionary;symbolic","psychological;evolutionary;modern","chart-reader;claim-ledger","symbolic-opinion;claim-packet"
C10,Astrologia Relacional,4,5,4,4,5,4,4,5,4,5,44,A04,KEEP,0,"astrology;relationship;synastry;composite;davison","relationship;astrology;consent","relational-engine;chart-reader","relationship-matrix;claim-packet"
C11,Astrologia Temporal Moderna,5,5,4,5,5,5,4,5,5,5,48,A05,KEEP,0,"astrology;prediction;transits;progressions;directions;returns","modern;predictive;astrology","temporal-engine;timeline","temporal-testimonies;windows"
C12,Tecnicas Temporais Tradicionais,5,5,5,5,4,5,4,5,5,5,48,A06,KEEP,1,"astrology;prediction;profections;firdaria;chronocrators","traditional;predictive;astrology","traditional-temporal-engine;timeline","temporal-testimonies;windows"
C13,Astrologia Horaria e Eletiva,5,5,5,4,4,4,3,5,4,5,44,A07,KEEP_MODES,0,"astrology;horary;electional;decision","traditional;horary;electional","search-engine;chart-reader","horary-judgment;election-set"
C14,Astrologia Mundana de Acontecimentos e Historica,5,5,5,4,4,4,4,5,5,5,46,A08,KEEP,0,"astrology;mundane;events;history;chronology","history;mundane;primary;academic","chronology;event-chart","event-analysis;claim-packet"
C15,Astrologia Locacional e Cartografica,5,5,5,5,5,5,5,5,5,5,50,A09,KEEP,0,"astrology;location;astrocartography;local-space;parans;relocation","astrology;geography;gis","gis;locational-engine;map","location-dossier;ranked-scenarios"
C16,Integracao Preditiva e Timing,5,5,5,5,5,5,4,5,5,5,49,P01,KEEP,1,"prediction;integration;convergence;timing;uncertainty","predictive;methods;case","convergence-engine;claim-ledger","forecast-record;timing-matrix"
C17,Calibracao e Backtesting,5,5,5,5,5,5,5,5,5,5,50,P02,KEEP,1,"prediction;backtesting;calibration;statistics;bias","forecast-ledger;outcomes;statistics","notebook;statistics;calibration","validation-report;calibration-metrics"
C18,Hermetismo Historico,5,4,5,4,4,4,4,5,5,4,44,H01,FUSE,0,"hermetism;history;genealogy;ritual","primary;academic;hermetic;ritual","search;citation;correspondence-graph","historical-dossier;ritual-context"
C19,Qabalah Hermetica e Golden Dawn,5,4,5,4,4,4,4,5,5,5,45,H02,KEEP,1,"qabalah;golden-dawn;correspondences;tarot","gd;qabalah;primary;critical","correspondence-graph;source-registry","tradition-overlay;claim-packet"
C20,Thelema Crowley e Thoth,5,4,5,4,4,4,4,5,5,5,45,H03,KEEP,1,"thelema;crowley;thoth;correspondences","thelema;crowley;thoth;primary","correspondence-graph;source-registry","tradition-overlay;claim-packet"
C21,Magia Planetaria Teurgia e Talismanica,5,5,4,4,3,4,4,5,5,4,43,H01,FUSE,0,"hermetism;history;genealogy;ritual","primary;academic;hermetic;ritual","search;citation;correspondence-graph","historical-dossier;ritual-context"
C22,Tarot Historico Iconografico e Comparativo,5,3,5,3,4,4,4,5,4,4,41,T01,FUSE,0,"tarot;history;decks;iconography;method","tarot;rws;thoth;marseille;lenormand","deck-registry;source-registry;spread-registry","tarot-dossier;reading-protocol"
C23,Tarot Estrategico e Tecnicas de Tiragem,5,4,5,4,5,4,4,5,4,5,45,T01,FUSE,0,"tarot;history;decks;iconography;method","tarot;rws;thoth;marseille;lenormand","deck-registry;source-registry;spread-registry","tarot-dossier;reading-protocol"
C24,Ciencias Naturais Factuais e Seguranca,5,5,5,4,4,4,4,5,5,5,46,N01,FUSE_MODES,1,"minerals;plants;metals;correspondences;safety","mineralogy;botany;toxicology;historical-esoteric","material-registry;safety-check","material-dossier;safety-caveat"
C25,Correspondencias Naturais e Materiais,5,5,5,4,4,4,4,5,5,5,46,N01,FUSE_MODES,1,"minerals;plants;metals;correspondences;safety","mineralogy;botany;toxicology;historical-esoteric","material-registry;safety-check","material-dossier;safety-caveat"
C26,Editor-Chefe e Arquiteto de Conteudo,5,4,4,4,5,5,5,5,4,5,46,E01,FUSE,0,"editorial;structure;language;accessibility;levels","approved-claims;style;audience","editorial-system;claim-lock","canonical-editorial-package;report"
C27,Editor Tecnico Linguagem Clara e Acessibilidade,5,4,4,4,5,5,5,5,4,5,46,E01,FUSE,0,"editorial;structure;language;accessibility;levels","approved-claims;style;audience","editorial-system;claim-lock","canonical-editorial-package;report"
C28,Direcao de Arte e Design System,5,3,4,5,5,5,5,5,4,5,46,V01,FUSE,0,"visual;design-system;cartography;data-viz;art","design;maps;data;brand","gis;vector;design-tools","visual-system;maps;figures"
C29,Cartografia e Visualizacao de Informacao,5,5,5,5,5,5,5,5,5,5,50,V01,FUSE,0,"visual;design-system;cartography;data-viz;art","design;maps;data;brand","gis;vector;design-tools","visual-system;maps;figures"
C30,Produtor Transmidia,5,4,4,5,5,5,5,5,4,5,47,M01,KEEP,0,"media;adaptation;video;audio;social;web","approved-claims;platforms;assets","media-tools;templates;export","multimedia-package;variants"
C31,Estrategia de Marca Produto e Pricing,5,4,4,4,5,5,5,5,4,5,46,M02,FUSE,0,"marketing;brand;product;analytics;growth","audience;market;campaign;metrics","crm;analytics;campaign-tools","product-brief;campaign;measurement"
C32,Growth Distribuicao e Analytics,5,4,4,5,5,5,5,5,5,5,48,M02,FUSE,0,"marketing;brand;product;analytics;growth","audience;market;campaign;metrics","crm;analytics;campaign-tools","product-brief;campaign;measurement"
C33,Auditor Quantitativo Astronomico e Preditivo,5,5,5,5,4,5,4,5,5,5,48,Q01,KEEP,1,"qa;astronomy;calculation;reproducibility;prediction","inputs;calculations;fixtures;forecasts","recompute;tests;notebook","review-packet;pass;return;block"
C34,Auditor Astrologico Historico Hermetico e Epistemologico,5,5,5,4,4,5,4,5,5,5,47,Q02,EXPAND,1,"qa;interpretation;history;hermetic;citations","claims;sources;traditions;methods","citation-check;claim-ledger;review","review-packet;pass;return;block"
C35,Auditor de Publicacao Etica e Compliance,5,5,5,4,5,5,4,5,5,5,48,Q03_Q04,SPLIT,1,"qa;privacy;safety;editorial;visual;commercial;release","policies;release-candidate;claims;design","privacy-check;accessibility-check;release-ledger","review-packet;pass;return;block"
